Fips,Target
33011,0
33011,1
12059,0
12059,1
28051,0
28051,1
39075,0
39075,1
12061,1
12073,1
12073,0
48289,1
48289,0
12075,1
12077,0
12077,1
13179,0
13179,1
30051,0
30051,1
48291,0
48291,1
12081,1
12085,0
12085,1
18101,0
18101,1
21159,0
21159,1
27091,0
27091,1
37117,0
37117,1
48317,0
48317,1
12086,1
12089,0
12089,1
36059,0
36059,1
12091,0
12093,0
12097,1
12097,0
19143,1
19143,0
26133,1
26133,0
12099,1
12101,1
12103,1
12107,1
12107,0
13237,1
13237,0
17155,1
17155,0
18133,1
18133,0
29171,1
29171,0
36079,1
36079,0
39137,1
39137,0
47141,1
47141,0
54079,1
54079,0
12109,0
12111,1
12113,0
12115,0
12117,1
13253,1
40133,1
12121,0
12123,1
12123,0
13269,1
13269,0
19173,1
19173,0
21217,1
21217,0
48441,1
48441,0
55119,1
55119,0
54091,1
54091,0
12127,1
12129,1
12131,1
13297,1
13001,1
13003,0
13005,1
13011,0
13013,1
13015,0
13017,0
13019,1
26021,1
13023,1
13025,0
13027,0
13027,1
48047,0
48047,1
13029,1
13029,0
40013,1
40013,0
13031,1
13033,0
13033,1
37023,0
37023,1
38013,0
38013,1
13035,1
13039,0
13039,1
29029,0
29029,1
37029,0
37029,1
34007,0
34007,1
13043,0
13047,1
13049,1
13051,0
13051,1
37037,0
37037,1
13053,1
13055,1
13063,1
19043,1
13065,1
13067,0
13071,0
13075,1
13075,0
17031,1
17031,0
27031,1
27031,0
13077,1
13081,1
13083,0
13083,1
29057,0
29057,1
13085,1
13085,0
30021,1
30021,0
31047,1
31047,0
48115,1
48115,0
13087,1
13087,0
19053,1
19053,0
18031,1
18031,0
20039,1
20039,0
47039,1
47039,0
13091,1
13091,0
27039,1
27039,0
31053,1
31053,0
55027,1
55027,0
13093,1
13095,0
13099,1
13101,1
13103,1
13103,0
17049,1
17049,0
13107,0
13109,1
13111,1
48147,1
13115,1
13115,0
19067,1
19067,0
18043,1
18043,0
21071,1
21071,0
48153,1
48153,0
51063,1
51063,0
13117,1
37067,1
13123,0
54021,0
13127,1
13129,0
13131,0
40051,0
13135,1
13137,0
13139,0
13139,1
31079,0
31079,1
48191,0
48191,1
13141,1
13141,0
19081,1
19081,0
17067,1
17067,0
18059,1
18059,0
21091,1
21091,0
23009,1
23009,0
28045,1
28045,0
39063,1
39063,0
47067,1
47067,0
