Fips,target
5099,0
6057,0
5103,0
5139,0
12125,0
13291,0
17181,0
18161,0
19175,0
21225,0
28145,0
34039,0
35059,0
37179,0
39159,0
41061,0
42119,0
45087,0
46127,0
47173,0
5003,0
5017,0
5041,0
5043,0
1073,0
5069,0
8059,0
12065,0
13163,0
16051,0
17081,0
18077,0
19101,0
20087,0
21111,0
28063,0
29099,0
30043,0
31095,0
36045,0
39081,0
40067,0
41031,0
42065,0
47089,0
48245,0
53031,0
54037,0
55055,0
5079,0
8073,0
13181,0
16063,0
20105,0
21137,0
23015,0
27081,0
28085,0
29113,0
30053,0
31111,0
32017,0
35027,0
37109,0
40081,0
41041,0
46083,0
47103,0
53043,0
54043,0
55069,0
56023,0
5057,0
5061,0
18067,0
19089,0
24027,0
29089,0
31093,0
48227,0
5081,0
5091,0
13201,0
29131,0
